canonical_name,display_name,type,occurrences,distinct_works,cross_work,page_refs,name_variants,description
"athon, onay, anay, anathon, vegeido, ya, yayay, el, blemutum, vsyon, vsy, elyas","Athon, Onay, Anay, Anathon, Vegeido, Ya, Yayay, El, Blemutum, Vsyon, Vsy, Elyas",concept,1,kieckhefer_clm849,,[58v],,function: divine names invoked for power
ave maria,Ave Maria,concept,1,kieckhefer_clm849,,p. 76–77,,role: prayer used in flying throne ritual
barian,Barian,concept,1,kieckhefer_clm849,,p. 343,,role: divine name used in ritual
beatific vision,beatific vision,concept,1,liber_juratus,,page 15,,nature: ritual centerpiece
cados,Cados,concept,1,kieckhefer_clm849,,p. 336–345,,role: divine name used in conjurations
caesarius of heisterbach story,Caesarius of Heisterbach story,concept,1,kieckhefer_clm849,,"Kieckhefer p. [unspecified in chunk]; Caesarius, Dialogue on Miracles",,description: comparative reference; illustrates demonic homage
cesarius of heisterbach story (schoolboy),Cesarius of Heisterbach story (schoolboy),concept,1,kieckhefer_clm849,,147–149,,function: parallel narrative / comparative example
charlemagne’s admonitio generalis (789),Charlemagne’s Admonitio generalis (789),concept,1,kieckhefer_clm849,,p. 189,,"quote: ""In 789, Charlemagne’s Admonitio generalis condemned the invocation of ‘unknown angels’, presumably for the sam"""
clerical underworld,clerical underworld,concept,1,kieckhefer_clm849,,p.24–25,,description: A social group of underemployed clerics who practiced necromancy
conjurations,conjurations,concept,1,kieckhefer_clm849,,"8, 12, 14, 16, 23, 29, 36, 42, 45, 48–9, 51, 53, 57, 58, 61, 62, 73–5, 80, 81, 83, 84, 86–8, 90, 91, 98, 102, 105–11, 115, 116, 127–34, 138, 140–4, 146, 147, 149, 156, 170, 174, 179",,"quote: ""conjurations, 8, 12, 14, 16, 23, 29, 36, 42, 45, 48–9, 51, 53, 57, 58, 61, 62, 73–5, 80, 81, 83, 84, 86–8, 90,"""
"creation, transformation, transportation, and transubstantiation of witches","the creation, transformation, transportation, and transubstantiation of witches",concept,1,scot_1584,,page 206,,description: A set of magical or supernatural phenomena attributed to witches. · nature: Magical phenomenon
daimones,daimones,concept,1,kieckhefer_clm849,,"50, 154–5",,"quote: ""daimones, 50, 154–5"""
declaration (as element in conjuration),declaration (as element in conjuration),concept,1,kieckhefer_clm849,,"127, 131–4, 149",,"quote: ""declaration (as element in conjuration), 127, 131–4, 149"""
deluge,Deluge,concept,1,garnier_1909,,49–50,,"quote: """"...one or other of the two great events in the history of the Deluge...were observed throughout the ancient w"""
devil,the Devil,concept,1,scot_1584,,Chapter 20/Page 354,,description: The entity that some claim cannot create creatures smaller than a barleycorn.
dialectic/logic,Dialectic/Logic,concept,1,ars_notoria,,28-29,,"quote: ""The Dialeical Notes may be used every day... The Reason why the Dialectical Art hath two Figures onely"""
divine vision,Divine Vision,concept,1,liber_juratus,,193-194,,"quote: ""...divina visio non est super ipsum coaccio immo preces..."""
dosa,Dosa,concept,1,kieckhefer_clm849,,p. 343,,role: divine name used in ritual
emanuel,Emanuel,concept,2,kieckhefer_clm849,,"62v, 64r|[58v, 59r]",,function: divine name used in exorcism; divine name used in incantations
ephesians 6:12,Ephesians 6:12,concept,1,kieckhefer_clm849,,p. 77,,role: biblical reference in flying throne ritual analysis
exorcisms,exorcisms,concept,1,kieckhefer_clm849,,"5, 14, 91, 127, 144–9, 157, 188",,"quote: ""exorcisms, 5, 14, 91, 127, 144–9, 157, 188"""
fear of the lord,Fear of the Lord,concept,1,liber_juratus,,174,,"quote: ""Inicium sapiencie timor Domini"""
filocapta,filocapta,concept,1,kieckhefer_clm849,,p. 108,,meaning: bound by love
general abilities,General Abilities,concept,1,ars_notoria,,"3, 12",,"quote: ""the first of these deals with what the author calls 'generals'; these are abilities of broad application – mem"""
giordano bruno,Giordano Bruno,concept,1,taschen_2003,,page 320,,description: Philosopher who proposed that the geometrical figure is the visible number and humans can become cooperators of operating nature through numbers.
grammar,Grammar,concept,1,ars_notoria,,27-28,,"quote: ""For Grammar hath three Notes only"""
gyges (ring of),Gyges (ring of),concept,1,kieckhefer_clm849,,p. 78,,role: classical reference point for invisibility theme
haa,Haa,concept,1,kieckhefer_clm849,,p. 343,,role: divine name used in ritual
hanazay,Hanazay,concept,1,liber_juratus,,138-139,,description: A sequence of names/voces magicae used in prayer
holy spirit as adoption/abba father,The Holy Spirit as Adoption/Abba Father,concept,1,scot_1584,,page 457,,"description: The spirit of adoption that allows us to cry 'Abba, Father'."
holy spirit as error/blindness,The Holy Spirit as Error/Blindness,concept,1,scot_1584,,page 457,,description: A spirit of error and blindness that inhabits where sin has dominion.
holy spirit as finger of god,The Holy Spirit as Finger of God,concept,1,scot_1584,,page 456,,description: Metaphorical representation of the spirit as the might and power of God.
holy spirit as oil/anointing,The Holy Spirit as Oil/Anointing,concept,1,scot_1584,,page 456,,description: Metaphorical representation of the spirit as anointing or ointment that makes one fit for office.
holy spirit as truth/touchstone,The Holy Spirit as Truth/Touchstone,concept,2,scot_1584,,page 457,,description: Metaphorical representation of the spirit as a touchstone to try all counterfeit devises and vain sciences.; The spirit of truth that tests all counterfeit devises and vain sciences.
holy spirit as water,The Holy Spirit as Water,concept,1,scot_1584,,page 455,,(attributes not extracted)
holy spirit as wind/breath,The Holy Spirit as Wind/Breath,concept,49,scot_1584,,/page 457|page 457,,"description: The Hebrew word r'ach signifies spirit, wind, blast, or breath.; The Hebrew word r'ach signifies spirit, wind, blast/breath."
holy trinity,Holy Trinity,concept,1,liber_juratus,,89,,"nature: co-eternal, co-equal"
horoscope,Horoscope,concept,1,taschen_2003,,page 42,,"description: The record of the constellations at the moment of birth, representing man's entanglement in fate."
idolatry,idolatry,concept,1,garnier_1909,,p. 400–407,,nature: spiritual deception
immanuel,Immanuel,concept,1,scot_1584,,page 470,,description: A holy name used in consecration rituals.
infernal hierarchy,infernal hierarchy,concept,1,kieckhefer_clm849,,63n14,,description: perversion of angelic order
instruction (as element in conjuration),instruction (as element in conjuration),concept,1,kieckhefer_clm849,,"127–9, 134, 140–3, 146, 149, 160, 179",,"quote: ""instruction (as element in conjuration), 127–9, 134, 140–3, 146, 149, 160, 179"""
invocations (as element in conjuration),invocations (as element in conjuration),concept,1,kieckhefer_clm849,,"127–9, 132, 133–40, 145–6, 159",,"quote: ""invocations (as element in conjuration), 127–9, 132, 133–40, 145–6, 159"""
jamnes and mambres,Jamnes and Mambres,concept,1,kieckhefer_clm849,,51,,"quote: ""The formula ‘May your arts fail … as Jamnes and Mambres failed’..."""
jove (jupiter),Jove (Jupiter),concept,1,kieckhefer_clm849,,,,"quote: """"at the hour of Venus or the hour of Jove... beginning at the hour of Jove"""""
jubertus’s spirits correlation,Jubertus’s spirits correlation,concept,1,kieckhefer_clm849,,,,"quote: ""Correlation: Superbus — grandeur of display... Luxuriosus - seduction or rape... Avarus — recovery or discover"""
king (gold),The King (Gold),concept,1,taschen_2003,,page 418,,"description: In alchemical processes, the gold or king can be dissolved in water and handed to Vulcan."
"lacryae lyrae, lyalguana, loaffar, vialuarab, lebara, lebarion, layasales","Lacryae Lyrae, Lyalguana, Loaffar, Vialuarab, Lebara, Lebarion, Layasales",concept,1,kieckhefer_clm849,,p. 343–344,,role: seven precious names of the Creator to inscribe on images
lapis,Lapis,concept,1,taschen_2003,,page 15,,"description: The goal of the alchemical work, achieved by elevating the fallen creation."
lemegeton,Lemegeton,concept,1,kieckhefer_clm849,,p. 192,,"quote: ""The Lemegeton lists seventy-two demons with their functions, including Asmoday..."""
lesser doxology,Lesser Doxology,concept,1,kieckhefer_clm849,,p. 76–77,,role: prayer used in flying throne ritual
liber officiorum,Liber officiorum,concept,1,kieckhefer_clm849,,p. 192,,"quote: ""Trithemius speaks of a Liber officiorum that catalogues four emperors and various kings, duces, marquises, and"""
liberal arts,Liberal Arts,concept,1,ars_notoria,,"3, 12",,"quote: ""the knowledge of every Science, Art, and Wisdom; and of every Faculty of Memory... attaining to them in one Mo"""
magic/art magike,Magic/Art Magike,concept,1,scot_1584,,Chapter 18,,description: The use of 'art' or 'cunning' to produce monsters and illusions.
mars (planet/hour),Mars (planet/hour),concept,1,kieckhefer_clm849,,,,"quote: """"leaving it aside from the hour of the Sun until the hour of Mars"""""
melancholie,melancholie,concept,1,scot_1584,,Chapter 9,,"description: A medical/psychological condition described as causing false imaginations, delusions, and irrational behaviors."
mercury,Mercury,concept,1,taschen_2003,,page 15,,description: The fluid principle with a propensity to sublimation. · role: volatile intellect
"miserere mei, deus","Miserere mei, deus",concept,1,kieckhefer_clm849,,experiment no. 41,,role: Psalm 51 used in treasure ritual
necromancy,necromancy,concept,1,kieckhefer_clm849,,"1–4, 6, 7, 10–13, 18, 22, 25, 26, 30, 32–5, 37, 44, 45, 54, 61, 64, 69–72, 80, 82, 101, 102, 127, 128, 160, 170, 175, 177, 180, 186–8",,"quote: ""necromancy, 1–4, 6, 7, 10–13, 18, 22, 25, 26, 30, 32–5, 37, 44, 45, 54, 61, 64, 69–72, 80, 82, 101, 102, 127, """
necromancy (nigramancia),necromancy (nigramancia),concept,1,kieckhefer_clm849,,48,,"quote: ""Hartlieb lists necromancy (nigramancia) as the first of the seven forbidden arts..."""
onus,onus,concept,1,kieckhefer_clm849,,105v,,function: symbolic word placed at wedge edges
orient (divine epithet),Orient (divine epithet),concept,1,kieckhefer_clm849,,experiment no. 41,,role: addressed in treasure ritual prayer
paris theologians (1398),Paris theologians (1398),concept,1,kieckhefer_clm849,,p. 189–190,,"quote: ""...the theologians at the University of Paris had in 1398 condemned the belief that... demons are compelled to"""
plasmator seculorum,Plasmator seculorum,concept,1,kieckhefer_clm849,,p. 336–345,,role: divine epithet
primum mobile,Primum Mobile,concept,1,taschen_2003,,page 45,,"description: The outermost planetary orbit, identified with God himself. · function: embracing all other spheres"
proteus,Proteus,concept,1,taschen_2003,,page 424,,"description: An eternally wandering watery man from Greek mythology, identified with 'our Mercury' by Heinrich Khunrath. · powers: keys to the sea; power over everything"
psalm 120:1f,Psalm 120:1f.,concept,1,kieckhefer_clm849,,p. 73–74,,role: biblical incantation used in horse ritual
psalm 50 (vulgate),Psalm 50 (Vulgate),concept,1,kieckhefer_clm849,,p. 78–79,,role: prayer used in invisibility ritual
pseudomonarchia daemonum,Pseudomonarchia daemonum,concept,1,kieckhefer_clm849,,p. 192,,"quote: ""...(Johannes Weyer’s Pseudomonarchia daemonum lists sixty-nine demons with their offices and functions)"""
psychical feelings,psychical feelings,concept,1,garnier_1909,,p. 400,,role: natural but non-spiritual affect
purgatory,Purgatory,concept,1,garnier_1909,,347-348,,function: allowed for posthumous intercession via sacrifices
pythonists,the Pythonists,concept,1,scot_1584,,Chapter 4/5,,"description: A group or tradition associated with the oracle of Apollo, characterized by their use of deception and oracular practices. · nature: Oracular tradition"
queen,The Queen,concept,1,taschen_2003,,page 418,,"description: In alchemical processes, the queen is fecundated by a greasy python to conceive children."
rhetoric,Rhetoric,concept,1,ars_notoria,,29,,"quote: ""The Reason why Rhetorick hath four Figures"""
roger bacon (necromantic treatise ascribed to),Roger Bacon (necromantic treatise ascribed to),concept,1,kieckhefer_clm849,,p. 190–191,,"quote: ""...the treatise on necromancy ascribed to Roger Bacon warns that demons will try to frighten the magician with"""
roman catholic countries (virgin and saints),Roman Catholic countries (Virgin and Saints),concept,1,garnier_1909,,p. 403,,"quote: ""...a word spoken against the Virgin or Saints in some Roman Catholic countries, a few years ago, would have ar"""
romanism,Romanism,concept,1,garnier_1909,,p. 405–406,,"quote: ""...like Romanism, which is a perversion of Christianity..."""
sabaoth,Sabaoth,concept,1,kieckhefer_clm849,,67v–68r,,function: divine name inscribed on knife and circle
sabbath feasts (demonic),Sabbath feasts (demonic),concept,1,kieckhefer_clm849,,63n16,,"quote: ""the banquet that demons bring forth is in one particular like the feasts ascribed in later years to witches at"""
sadaye,Sadaye,concept,1,kieckhefer_clm849,,p. 336–345,,role: divine name used in conjurations
salt,Salt,concept,1,taschen_2003,,page 15,,"description: The third fundamental principle in Paracelsian doctrine, corresponding to the body."
saraboth/sabaoth,Saraboth/Sabaoth,concept,1,kieckhefer_clm849,,p. 336–345,,role: divine name used in conjurations
sator-arepo,SATOR-AREPO,concept,1,kieckhefer_clm849,,experiments 38–40; Gaster manuscripts,,role: magical formula inscribed in circle or whispered
sator-arepo formula,Sator-arepo formula,concept,1,kieckhefer_clm849,,experiment no. 28,,role: protective incantation inscribed in circle
sator-arepo square,SATOR-AREPO square,concept,1,kieckhefer_clm849,,"76, 113, 116",,"quote: ""SATOR-AREPO square, 76, 113, 116"""
saturn (planet/hour),Saturn (planet/hour),concept,1,kieckhefer_clm849,,,,"quote: """"from the hour of the Sun until the hour of Saturn"""""
semiforas,Semiforas,concept,1,kieckhefer_clm849,,experiment no. 42,,"role: great Hebrew name for God, i.e., Shem ham-Mforash"
serpent,Serpent,concept,1,garnier_1909,,99-132,,"quote: ""The Serpent the symbol of wisdom and divination"""
"shoeth, hebatit, het, agla, jocht, othot, vanecht, nabuthi","Shoeth, Hebatit, Het, Agla, Jocht, Othot, Vanecht, Nabuthi",concept,1,kieckhefer_clm849,,[58v],,function: divine names used in binding demons
sign of the cross,sign of the cross,concept,1,kieckhefer_clm849,,"47, 59, 110, 111, 160",,"quote: ""sign of the cross, 47, 59, 110, 111, 160"""
sortilegie,sortilegie,concept,1,scot_1584,,Chapter 29,,"description: A term used to the practice of sorcery or magic, which Scot is debunking as trickery.  · nature: deception/sorcery"
special abilities,Special Abilities,concept,1,ars_notoria,,"3, 12",,"quote: ""The second section deals with the 'specials', giving prayers in sequence for each of the Liberal Arts"""
spirit communication,spirit communication,concept,1,garnier_1909,,340,,"quote: ""It is, as before remarked, a difficult thing to establish communication with the spirits, but when once establ"""
spirits of the air,Spirits of the Air,concept,1,liber_juratus,,227-228,,"quote: ""There are two kinds of aerial spirits, for some are good while others are evil; some are mild, others wild."""
subsolanus,Subsolanus,concept,1,liber_juratus,,318,,nature: wind
sulphur,Sulphur,concept,1,taschen_2003,,page 15,,description: A fundamental principle mediating the position of the soul.
sun (hour),Sun (hour),concept,1,kieckhefer_clm849,,,,"quote: """"from the hour of the Sun until the hour of Saturn"""""
sympathy and antipathy,Sympathy and Antipathy,concept,1,scot_1584,,"Page 634, 637",,description: The principle that things are drawn to their like or repelled by their contrary. 
table b,Table B,concept,1,kieckhefer_clm849,,,,"quote: ""Table B . Types of necromancy found in Clm 849 — Illusionist / Psychological / Divinatory..."""
testament of solomon,Testament of Solomon,concept,1,kieckhefer_clm849,,p. 192,,"quote: ""These catalogues were especially common in the treatises and grimoires of the early modern era... but the basi"""
tetragramaton,Tetragramaton,concept,2,kieckhefer_clm849,,"62v, 64r|68r",,function: divine name inscribed in circle; divine name used in incantations
tetragrammaton,Tetragrammaton,concept,3,kieckhefer_clm849,,"42, 109, 110, 115, 135, 138, 160, 171|[59r]",,function: divine name invoked for power · role: divine name used in conjurations
theological sciences,Theological Sciences,concept,1,ars_notoria,,12,,"quote: ""in the third place we come to speak of Theologie; which Sciences thou shalt attain to, by the Operations of th"""
theology and astronomy,Theology and Astronomy,concept,1,ars_notoria,,31,,"quote: ""Theology and Astronomy... hath 7 Notes, but they are great and dangerous"""
theology notes,Theology Notes,concept,1,ars_notoria,,32,,nature: sacramental
thoth,Thoth,concept,1,kieckhefer_clm849,,63r,,function: Egyptian deity referenced as 'princeps vestrum'
tobit (book of tobias),Tobit (Book of Tobias),concept,1,kieckhefer_clm849,,p. 190,,function: demon expelling via fish liver fumigation
transubstantiation,transubstantiation,concept,1,scot_1584,,Chapter 7,,"description: An impossible claim made in witches' confessions, used by Scot to argue against the validity of proofs."
trinitas sancta,Trinitas Sancta,concept,1,kieckhefer_clm849,,"62v, 68r",,function: basis for invocations and circle-making
trinity invocation,Trinity invocation,concept,1,kieckhefer_clm849,,p. 78–79,,role: conjuring formula in invisibility ritual
venus (planet/hour),Venus (planet/hour),concept,1,kieckhefer_clm849,,,,"quote: """"at the hour of Venus or the hour of Jove"""""
vision of god,Vision of God,concept,1,liber_juratus,,92-101,,"quote: ""valeam ad facialem tui, Deus eterne, visionem virtute tui sanctissimi Spiritus"""
witchcraft,Witchcraft,concept,2,scot_1584,,"page 471/483|page 59, 61",,"description: The practice of using magic or spirits to cause harm or perform feats.; The practice of using supernatural powers, which the author seeks to define and disprove"
witchcraft/conjuring,Witchcraft/Conjuring,concept,1,scot_1584,,Chapter 18-23,,"description: The practice of performing supernatural feats through words, charms, and illusions."
yhon/yhaa,Yhon/Yhaa,concept,1,kieckhefer_clm849,,p. 336–345,,role: divine names used in conjurations
yma,Yma,concept,1,kieckhefer_clm849,,p. 337–345,,role: divine name used in conjurations
zephyr,Zephyr,concept,1,liber_juratus,,317,,nature: wind
amitabha,Amitabha,deity,1,garnier_1909,,152,,"role: supreme Buddha, Heavenly Father, God of Gods"
baal (sun god),Baal (Sun god),deity,1,garnier_1909,,342,,"quote: ""Brilliant metal reflectors, or 'Sun Images,' were placed over the altars of Baal, the Sun god of the Canaanite"""
belus (marduk),Belus (Marduk),deity,1,garnier_1909,,342,,"quote: ""There was a golden image of the Sun in the temple of Belus at Babylon"""
belus / bel,Belus / Bel,deity,1,garnier_1909,,p. 228,,role: supreme god of Babylon
buddha (sakya muni),Buddha (Sakya Muni),deity,1,garnier_1909,,152–153,,role: incarnation of Amitabha
cuzco deity (sun god),Cuzco deity (Sun god),deity,1,garnier_1909,,342,,"quote: ""a similar image of gold was found in the temple of Cuzco, in Peru"""
dionysius eleuthereus (bacchus),Dionysius Eleuthereus (Bacchus),deity,1,garnier_1909,,344,,"quote: ""When he was torn to pieces, his heart was preserved by Minerva, and 'by a new regeneration again emerged... af"""
goddess (mylitta/ceres/isis),goddess (Mylitta/Ceres/Isis),deity,1,garnier_1909,,346-347,,role: Mediatrix
hecate,Hecate,deity,1,garnier_1909,,p. 208,,role: chthonic goddess
hermes / hephsestus,Hermes / Hephsestus,deity,1,garnier_1909,,p. 228,,role: first teacher of idolatry
isis,Isis,deity,2,garnier_1909,,218|p. 208,,role: Egyptian goddess; Pagan goddess mother; counterpart to Hermes/Hephaestus
isis at busiris,Isis at Busiris,deity,1,garnier_1909,,p. 198,,"quote: ""In the temple of Isis at Busiris the goddess herself... appeared to the sleeper and prescribed remedies"""
jupiter,Jupiter,deity,1,garnier_1909,,p. 228,,role: supreme god of Greeks/Romans
kwanyin (guanyin),Kwanyin (Guanyin),deity,1,garnier_1909,,154–155,,role: embodying mercy and wisdom; feminine counterpart to Buddha’s solar principle
osiris,Osiris,deity,3,garnier_1909,,342|47|p. 228,,role: god of Egyptians
saturn,Saturn,deity,1,garnier_1909,,52–53,,"quote: """"...two cities...called Saturnia and Janicula...Saturn was certainly of Chaldean origin."""""
shing moo,Shing Moo,deity,1,garnier_1909,,154,,role: form of Kwanyin; depicted with child
100 dei vivi nomina,100 Dei vivi nomina,divine_name,1,liber_juratus,,185-186,,"quote: ""(2) 100 Dei vivi nomina. 1. Agla, 2. Monon, 3. Tetragramaton..."""
abracio,Abracio,divine_name,1,liber_juratus,,180,,function: spoke to Moses in burning bush
"achacham, yhel, chelychem, agzyraztor, yegor","Achacham, Yhel, Chelychem, Agzyraztor, Yegor",divine_name,1,ars_notoria,,22,,function: beginning of a powerful Oration that moves celestial spirits
admyhel,Admyhel,divine_name,1,liber_juratus,,147,,role: holy and almighty Father
adonay,Adonay,divine_name,9,ars_notoria|kieckhefer_clm849|liber_juratus,yes,"126, 127|139|180|215|296-297",ADONAY|Adonay,function: separated sea from bounds · nature: Great and dreadful God
agla,Agla,divine_name,3,kieckhefer_clm849|liber_juratus,yes,176|323|p. 207,AGLA|Agla,"quote: ""no. 16 has Agla / Michael virtus dei / Gabriel fortitudo..."""
agla eloy yaym theos deus,Agla Eloy Yaym Theos Deus,divine_name,1,liber_juratus,,287-288,,"quote: ""Agla, Eloy, Yaym, Theos, Deus—quo audito celestia..."""
"aglaros, theomiros, thomitos","Aglaros, Theomiros, Thomitos",divine_name,1,ars_notoria,,23,,function: beginning of second part of Oration
"agyos, otheos, athanatos, yschiros, kirios, alleluia, eleyson","Agyos, Otheos, Athanatos, Yschiros, Kirios, Alleluia, Eleyson",divine_name,1,kieckhefer_clm849,,48r,,function: conjuration authority
alpha and omega,Alpha and Omega,divine_name,2,liber_juratus,,61|91-92,,"description: Deus omnipotens, beginning of all things without beginning · role: beginning and end"
alpha et o,Alpha et O,divine_name,2,kieckhefer_clm849,,"47v, 48r, 51r|p. 207",,function: conjuration authority
"amasiel, danyihayr","Amasiel, Danyihayr",divine_name,2,ars_notoria,,23|24,,function: fourth part of Oration
archima,Archima,divine_name,1,liber_juratus,,189-190,,meaning: Preached faith for 32 years
assaylemath assay lemath azzabue,Assaylemath Assay Lemath Azzabue,divine_name,1,ars_notoria,,14,,"quote: ""Assaylemath, Assay, Lemath, Azzabue."""
azzaylemath lemath azacgessenio,Azzaylemath Lemath Azacgessenio,divine_name,1,ars_notoria,,14,,"quote: ""Azzaylemath, Lemath, Azacgessenio."""
basvon,Basvon,divine_name,1,kieckhefer_clm849,,45v,,function: conjuration authority
beel,Beel,divine_name,1,liber_juratus,,296-297,,"quote: ""inferius in alia summitate Beel"""
christ / jesus christ,Christ / Jesus Christ,divine_name,1,ars_notoria,,42,,role: Redeemer · nature: Splendor and Figure of light
christus,Christus,divine_name,2,liber_juratus,,117|189-190,,meaning: Overshadowed in womb like sun through glass
divine majesty,Divine Majesty,divine_name,1,liber_juratus,,195,,"quote: ""it is most difficult for one to perceive the Divine Majesty."""
"do., hel., x., p., a., li., o., f","Do., Hel., X., P., A., Li., O., F",divine_name,1,ars_notoria,,17,,function: glorious Angels’ names (incomprehensible to human sense)
el,El,divine_name,1,liber_juratus,,64,,"quote: ""supra illud signum scribe nomen Dei “El”"""
el / ely / eloy,El / Ely / Eloy,divine_name,1,liber_juratus,,"66, 71-73",,"quote: ""write the name of God El and sub nomen aliud Dei, scilicet Ely."""
eleminator,Eleminator,divine_name,1,liber_juratus,,125,,"quote: ""“Eleminator,” (XXVII), which is part of the same prayer"""
eliorem,Eliorem,divine_name,1,liber_juratus,,189-190,,meaning: Presented in Temple to Simeon
"eliphasmasay, gelonucoa, gebeche banai, gerabcai, elomnit","Eliphasmasay, Gelonucoa, Gebeche Banai, Gerabcai, Elomnit",divine_name,1,ars_notoria,,17,,function: Archangels invoked for memory
"elmot, sehel, hemech, zaba","Elmot, Sehel, Hemech, Zaba",divine_name,1,ars_notoria,,25,,"quote: ""Elmot, Sehel, Hemech, Zaba, &c."""
elthie,Elthie,divine_name,1,kieckhefer_clm849,,47r,,function: conjuration authority
ely,Ely,divine_name,1,liber_juratus,,64,,"quote: ""et sub nomen aliud Dei, scilicet “Ely”"""
"ely, eloe, sabaoth, adonay, elyon, on","Ely, Eloe, Sabaoth, Adonay, Elyon, On",divine_name,1,kieckhefer_clm849,,"49r, 51r",,function: conjuration authority
"ely, elov, eloem","Ely, Elov, Eloem",divine_name,1,kieckhefer_clm849,,47r,,function: conjuration authority
emmanuel,Emanuel,divine_name,3,kieckhefer_clm849|liber_juratus,yes,145|296-297|p. 207,,"role: king of kings, God, substance, salvation and revelation"
"fords, fons, leo, petra","Fords, Fons, Leo, Petra",divine_name,1,kieckhefer_clm849,,49r,,function: conjuration authority
fothon,Fothon,divine_name,1,liber_juratus,,180,,function: creator of Heaven and Earth
g l a,A G L A,divine_name,1,kieckhefer_clm849,,176–177,,"quote: ""...by the name of the Lord God which is blessed forever A G L A..."""
gabriel,Gabriel,divine_name,1,kieckhefer_clm849,,p. 207,,"quote: ""...Michael virtus dei / Gabriel fortitudo..."""
god,God,divine_name,7,ars_notoria|liber_juratus,yes,"125, 126, 127, 130|195|32|41|42",,"role: Restorer of all things by His Spirit; creator of heaven and earth · nature: Omnipotent, Incomprehensible, invisible and indissolative, Creator, Savior, Lord of all Creatures; Creator of all things from nothing; living"
god (deus),God (Deus),divine_name,1,liber_juratus,,"150, 151, 152, 154, 155, 156, 158, 159",,"nature: infinite mercy, immeasurable greatness, king of kings, creator, savior, threefold and one"
gofgameli,Gofgameli,divine_name,1,liber_juratus,,144,,role: God of all wisdom and giver of this science
gofgar,Gofgar,divine_name,1,liber_juratus,,189-190,,meaning: Sent John the Baptist as testimony
hadyon,Hadyon,divine_name,1,liber_juratus,,139,,"role: illustrious with eternal harmony of all powers, rulers, and courts"
hamphynethon,Hamphynethon,divine_name,2,liber_juratus,,136|137,,"role: most merciful creator, inspirer and reformer of all corrupted souls"
"heilma, helma, hmena","Heilma, Helma, Hmena",divine_name,1,ars_notoria,,23,,function: Greek names in division of Oration
heloy,Heloy,divine_name,3,liber_juratus,,137|189-190|267,,meaning: Turned water into wine at wedding
hely,Hely,divine_name,1,liber_juratus,,142,,"role: mighty, master of angels and archangels"
hely deus,Hely Deus,divine_name,1,liber_juratus,,135,,"quote: ""Hely Deus, creator, Adonay"""
hely scemath amazaz hemel sathusteon hheli tamazam,Hely Scemath Amazaz Hemel Sathusteon hheli Tamazam,divine_name,1,ars_notoria,,13,,description: Science of transcendent purity
hiskiros,Hiskiros,divine_name,2,liber_juratus,,269-270|296-297,,"quote: ""invoking I conjure you through Zabuater, Rabarmas, Hiskiros"""
hocleiste,Hocleiste,divine_name,2,liber_juratus,,136,,"role: holy God, blessed Father and imperishable evidence of the heart"
hofga,Hofga,divine_name,1,liber_juratus,,180,,function: created mankind on sixth day
holy spirit,Holy Spirit,divine_name,2,liber_juratus,,"104|81, 85, 89",,role: proceeding from Father and Son
horlon,Horlon,divine_name,1,liber_juratus,,142,,"role: God who ordered all things in number, weight, and measure"
hosel,Hosel,divine_name,1,liber_juratus,,173,,"quote: ""Hosel, Iesel et cetera, debent dici paulo post principium orandi"""
