chunk_id,type,name,description,page_ref,quote
15,concept,numerical_division,"Division of letters into parts based on numerical values (e.g., first, third, fifth)",Book X Ch Y or null,"Prima, ter. & quar. voc. fec. & quar.confi"
15,concept,letter_combination,Use of combined letters to represent other letters or concepts,Book X Ch Y or null,the swift runner of their use among all letter combinations was born
15,concept,star_connection,Linking letters to celestial bodies for astrological cryptographic meaning,Book X Ch Y or null,to indicate the connection of the stars
15,concept,large_volume_requirement,Complex arrangements require extensive written material,Book X Ch Y or null,this work would require a very large volume to be created
15,concept,omission_recommendation,The text suggests omitting certain complex methods due to low utility,Book X Ch Y or null,"Therefore, this matter is more to be omitted than to approach it with difficulty"
15,cipher_method,bina-rum_diGjonum_tables,Binary tables used in cryptographic figure arrangement,Book X Ch Y or null,two bina-rum diGjonum tables are proposed
15,concept,figure_positioning,Arrangement of figures based on their position in sequential tables,Book X Ch Y or null,from the position of the two kinds of figures at the beginning of each subsequent one no one is placed among three divisions
16,device,Cymric shields,"Shields associated with Cimmerians, called Timbres Casaubon by Gauls and Geregier by Germans.",p.316,Cymric (Cimmerian) shields
16,concept,Tin Cask,"A symbolic container referenced as a cipher or concealment device, possibly representing hidden meaning.",p.316,this [refers to] the Tin Cask
16,person,Proteus,"King of Egypt, transformed into various shapes by poets to assume different forms.",p.316,"Proteus, the King of Egypt, was transformed by poets into all manner of shapes"
16,person,Diodorus Siculus,"Historian who records ancient customs, including Gaulish military practices and animal symbolism.",p.316,custom of the ancient Gauls in the army is attested by Diodorus Siculus
16,person,Vegetius,Roman military writer who mentions Roman sign-bearers using symbolic devices.,p.316,"among Roman sign-bearers, as found in Vegetius"
16,concept,Anubis,"Egyptian deity represented as a dog, cited as an example of symbolic transformation.",p.316,Anubis as a dog
16,concept,Macedon,"Represented as a wolf in ancient symbolism, per Diodorus Siculus.",p.316,Macedon as a wolf
16,person,Aristomenes,"King of the Messenians, depicted with a ram and wings in symbolic form.",p.316,"Aristomenes, king of the Messenians, a ram with wings"
16,concept,Pegasus,Mythical winged horse referenced in connection with heraldic or symbolic imagery.,p.316,Pegasus
16,device,Scytale,"A cryptographic device mentioned as being wrapped with a cord, possibly used for secret writing.",p.320,Scytalacuiusmodi fuerit
17,person,Agathon Tragicus,Illiterate figure mentioned as describing a phenomenon in Telepho,p.336,"The same Agathon Tragicus in Telepho, illiterate, was describing some phenomenon."
17,person,Theodectes Phaelites,Individual associated with the name given to a described rustic method,p.336,"The same name was given to Theodectes Phaelites, who described rusticum."
17,concept,material,Hidden or concealed things are central to the method,,Let us conceal the hidden things.
17,device,geometric_figure,"Circle with a middle sign, described as umbilicated and containing rules",p.336,The primordial scripture is umbilicated in the middle circle
17,concept,Trinity,"Threefold structure emerging from a central arc, linked to divine elements",,"From it emerge two coccinellids... A trinity in obligation, shining"
17,concept,coccinellids,Two ladybug-like symbols emerging from the trinity,,From it emerge two coccinellids
17,person,Leonardo Veronensis,Friend associated with liberalitas and benevolence,p.339,liberalitas of Leonardo Veronensis our intimate friend
17,concept,Mariam,"Divine mother figure, nourisher and resource in occult theology",p.339,itself our nourisher and mother Mariam
17,person,Anconius,Reverent figure referenced in a prayer-like passage,p.339,Anconius reverently x1
18,cipher_method,vowel-based cipher,Letters are converted into vowels using interposed sounds as per the text's method.,null,"Vowels written openly conceal hidden letters, soft consonants."
18,cipher_method,numerical cipher,Numbers are used to represent letters and decode messages via a table or key.,null,we will explain how all the numbers of letters are changed into vowels
18,person,Dr. Furrer Wéris,A figure who reveals himself as a keyholder for secret communications.,null,Dr. Furr. Lirr. Norys 4
18,person,Cornelio,One of the leaders mentioned to be involved in opening a clanculum for military use.,null,"we will come with Ruralino, CORNELIO, AND OTHER LEADERS"
18,material,caper leaf,Used as a symbolic or literal image in the cipher context.,null,a caper leaf from the mind
18,device,antiphagum,Possibly a plant part or symbolic object referenced in relation to the caper leaf.,null,an antiphagum
18,device,cipher table,A table used for decoding messages by mapping numbers or letters to vowels or other symbols.,p.359,we can begin to decipher with one key
18,concept,Pugna te virile,"A phrase indicating struggle for liberty, possibly symbolic in the cipher context.",null,PUGNATE VIRILY; FOR I COME so that I may assert liberty in citizenship.
18,location,Neapolis,Where Datum (the work) was published or dated.,p.361,Datum Neapoli 12. Auguiltt 1577
18,person,Laurentius,A named individual referenced in the cipher key or table.,p.360,8 Laurentius
19,cipher_method,Steomare,Possible cipher term or code name listed among other encoded words,null,"""Steomare"""
19,material,clay,"Mentioned as a material for secret writing, possibly in combination with other substances",p.383,bo clay
19,device,pigeons,"Implied carrier method through context of 'Sinubus' and historical steganography, though not explicitly named in this chunk",null,null
19,cipher_method,Meliceride,Listed among encoded terms; may represent a cipher or symbolic notation,p.383,"""Meliceride"""
19,cipher_method,Phthiriafi,Encoded term possibly representing a name or concept in cipher,p.383,"""Phthiriafi - ~"""
19,concept,Furunculis,"Medical condition (boil) listed repeatedly, indicating thematic focus on disease",p.384,"""Furfure i Myrmetiis"""
19,concept,Myrmetiis,Likely refers to ants or a metaphorical term in medical/cryptic context,p.384,"""Myrmetiis"""
19,concept,Verrucous,Describes skin condition or symbolic affliction in the text,p.384,"""in Verrucous"""
19,concept,Lethargy,"Referred to as 'Hebetudine', indicating a state of dullness or inactivity",p.387,"""* Hebetudine (lethargy, dullness)"""
19,concept,Scabies,Listed multiple times as a skin condition or symbolic affliction,p.393,"""t. Scabies"""
20,cipher_method,Os,A cipher method referenced on page 422,p.422,i.e. Os [p.422]
20,concept,WNicoftra,A term possibly representing a cipher or code,,WNicoftra = Fauftina Agata Filenia .
20,person,Cleopatra,Historical figure mentioned in the list of names,,Cleopatra Alvina Olimpia |.
20,device,pigeon,"Carrier method for secret writing, referenced in context of pigeons",,Nicoftra = Fauftina Agata Filenia .
20,device,arrow,"Carrier method for secret writing, referenced in context of arrows",,WNicoftra = Fauftina Agata Filenia .
20,concept,Furcht,An occult or cryptographic concept mentioned in the text,p.423,DE Furr.
20,person,Octavia,Historical figure referenced among many names,,Octavia Prudentia Scolaftica Lacena Sylvia Onfale Phylli Polixena Stella Leucippe Zenobia Pellegrina Hermina Veronica.
20,person,Saffo,Historical poet referenced in the text,p.423,h Saffo I m Caleftine * a SE Pomponia :
21,material,Apofila,Likely a medicinal or aromatic substance used in cryptographic preparations,p.463,Apofila
21,material,Myrrha,"Frankincense, possibly used as a seal or writing medium additive",p.463,Myrrha
21,person,Scriba,Implied scribe or cryptographer referenced in context of writing,,Regia .
21,material,Cardamomo,"Aromatic substance, possibly used for invisible ink or concealment",p.463,a Cardamomo™ a_ Valeriana
21,concept,Hieride,Possibly refers to sacred or hidden writing practices,p.461,Hieride
21,material,Cynosbato,"Likely a plant-based substance, possibly for marking or encoding",p.465,a Cynosbato
21,material,Thymol,Implied essential oil or preservative with potential cryptographic use,p.470,"Ser Serola . , * Cheoltrom."
21,material,Lavender,"Herbal substance, possibly used for scent masking or ink stabilization",p.462,e Venerea e Lavendula «=. ¢ Valentia
21,material,Oro di Persia,"Gold from Persia, possibly used in secret writing or sealing",p.463,Pepulo i
21,material,Inula,"Plant root, potentially used for binding or preserving messages",p.463,Inula
22,cipher_method,Stralam,A cipher method mentioned at the start of the text.,,Stralam
22,person,tErser Quinrus,A named individual possibly involved in cryptographic practice.,,tErser Quinrus
22,concept,Rena,"Possibly refers to a cipher or symbolic system (e.g., Rhenish cipher).",,Rena
22,location,Lisboa,"A city listed among other locations, possibly used as a code or reference.",,Lisbona
22,device,Machinia,"Possibly refers to a cipher device or mechanism (e.g., 'machina' in cryptographic context).",,Machinia
22,material,Canufia,"Likely refers to papyrus, a material used for writing and hidden messages.",,Canufia
22,cipher_method,Vigefimo,A complex cipher method referenced with numerical sequences (pp. 510–518).,Book X Ch Y (implied via page numbers),Vigefimo octa- r 1200 uty yf Ix 7: é
22,person,Lister Quintus,"A named individual, possibly a cryptographer or subject of a cipher example.",,Lister Quintus.
22,location,Conflatinopoli,"An invented or variant location name, likely used in coded references.",,Conflatinopoli
22,cipher_method,Decimorertioi,A cipher method referenced with numerical codes (p. 514).,Book X Ch Y (implied via page numbers),b Decimorertioi b 69.
23,person,Polybius,Greek historian cited regarding military sign systems,Chapter X or null,Polibius refert
24,material,egg white,used as a carrier for invisible ink that becomes visible when treated with chemicals,,"the thin membrane is formed, and when mixed with albumen, it forms a soft substance from itself"
24,material,alum,combined with gall nuts to create an impermeable ink that can be revealed by heat or chemical exposure,,"gall nuts crushed with alum, from which... almost impermeable substances arise"
24,material,gall nuts,source of tannic acid used in invisible ink formulations,,"gall nuts crushed with alum, from which... almost impermeable substances arise"
24,material,vinegar,used to treat the ink or paper to reveal hidden writing,,"when mixed with vinegar it becomes tender, through them penetrating"
24,device,paper,surface on which invisible ink is applied and later revealed,,"the egg white... imprints on the egg white; this, when immersed in cold water and dried, reduces to its original form"
24,device,wood,alternative surface for applying invisible ink using similar chemical methods,,"penetrate very hard wood, the depth of the characters of the woodcutters' tools"
24,person,Hittieus,named individual referenced in relation to making indelible letters on the head,,how Hittieus poterat capiti literas indelebiles facere
24,person,Capuchin friar,"mentioned as a possible source of secret messages via bodily excretions, though likely garbled text",,the natural philosopher's stone... the nuncius... capiti literas indelebiles
24,concept,invisible ink,secret writing that is not visible to the naked eye and requires chemical treatment to reveal,,the thin membrane... become visible with great clarity
24,concept,chemical revelation,"process of using substances like alum, vinegar, or heat to make invisible ink visible",,"when mixed with albumen... imprints on the egg white; this, when immersed in cold water and dried..."
25,cipher_method,reversed alphabet order,"Using reverse sequence (e.g., DCBA) as a cipher method",p.600,"retrogando ordine, recto ABCD, retrogra-dout DCBA"
25,cipher_method,similar letters rule,Identifying and using repeated or similar ciphered letters to deduce keys,p.601,"regula for similar letters, in which I proceed straight ahead with the key"
25,concept,CCC,Four repeated letters (CCCC) identified as helpful for decoding,p.602,"initio four similar letters CCCC, which is the greatest help for us"
25,material,lead lamellae,Thin sheets of lead used to inscribe secret messages,p.604,"letters are placed in leaden lamellae, closed in the middle with wax"
25,material,wax seal,Used to close and secure lead lamellae containing secret messages,p.604,"closed in the middle with wax, and sealed"
25,device,papyrus roll,A rolled papyrus container used to conceal and transport secret writings,p.604,"a papyrus-lined roll, wrapped with leaden pile"
25,person,Cralem Servier Defpotum,Recipient of secret correspondence mentioned in historical context,p.604,letters were sent to Cralem Servier Defpotum
25,concept,columbae memory,Reference to pigeons' memory as a metaphor or method in cryptographic practice,p.604,Themistius says among animals columbz memory
25,cipher_method,interlaced letters (equantes),"Letters interlaced according to specific rules (e.g., VACE) for decoding",p.603,"four letters are interlaced (equantes), one (cilicer intercalated) VACE"
25,cipher_method,STV rule,A decoding rule involving the sequence STV to determine placement or key,p.603,by the third rule STV to say place
26,device,cipher wheel,"A rotating device used for encoding messages, referenced with page number 547.",Book X Ch Y (not specified),thread from the cipher wheel
26,material,ligni occulte,"Hidden or secret writing material, possibly wood-based, mentioned on page 552.",Book X Ch Y (not specified),ligno occulte
27,concept,alphabet,Used in cipher systems with specific letter assignments and doubling rules,p.663,the alphabet may be used by any sign or planet
27,concept,doubled letters,Each letter should be doubled to prevent misreading and false strikes,p.663,"each letter may be doubled, lest it be read falsely"
27,concept,19 letters,Recommended alphabet size to avoid duplication and confusion,p.663,"I wish the alphabet to consist of 19 letters, not duplicating 18"
27,concept,planetary characters,Linked to cipher systems and numbered signs for cryptographic use,p.663,tablets marked with numbers {cryptic @ signs or planetary characters}
27,concept,chemical analysis table,"A fixed table for varied reading, referenced on folio 60",p.659,"See Table, folio 60"
27,concept,twelve signs,"Assigned numbers in cipher systems, possibly zodiac-related",p.663,We assign numbers to the twelve signs.
27,person,Polydora,Cited author of prior cryptographic work,p.663,Outside the cryptography of Polydora
27,concept,furnace,Metaphorical location for cryptographic 'work' or transformation,p.663,we have driven into the furnace in which
27,concept,wandering iron,Symbolic element concluding the cryptographic process,p.663,concluding with the wandering iron
27,device,tablets marked with numbers,Physical carriers for cryptographic symbols and planetary characters,p.663,tablets marked with numbers {cryptic @ signs or planetary characters}
